dispositivo,metodo_tracking,paginas_vistas,tempo_sessao_segundos,scroll_depth_max,baixou_material_rico,cargo,tamanho_empresa,tipo_email,converteu,origem_canal_Direct,origem_canal_Google Ads,origem_canal_LinkedIn Ads,origem_canal_Meta Ads,origem_canal_Organic Search,origem_canal_Referral,campanha_tipo_Lookalike,campanha_tipo_Nenhuma,campanha_tipo_PMax,campanha_tipo_Retargeting,campanha_tipo_Search,campanha_tipo_Sem Rastreio
0,1,0.7692307692307694,0.26409313725490197,0.6666666666666666,1,3,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,0.6923076923076923,0.23284313725490194,0.6666666666666666,0,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0.9230769230769231,0.36213235294117646,1.0,0,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0
0,1,0.38461538461538464,0.30392156862745096,0.6666666666666666,0,5,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0.15384615384615385,0.1531862745098039,0.6666666666666666,1,3,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0.3076923076923077,0.08884803921568628,1.0,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1.0000000000000002,0.8284313725490197,0.33333333333333337,1,3,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0.8461538461538463,0.6642156862745099,1.0,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0.9230769230769231,0.5533088235294118,0.0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0.9230769230769231,0.4816176470588235,1.0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0.9230769230769231,0.7046568627450981,1.0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0.0,0.04595588235294118,0.33333333333333337,1,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,0.5384615384615385,0.17401960784313725,0.33333333333333337,0,4,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
0,1,0.7692307692307694,0.2977941176470588,0.6666666666666666,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0.38461538461538464,0.12377450980392156,1.0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0.8461538461538463,0.2230392156862745,0.33333333333333337,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0.07692307692307693,0.012254901960784314,0.0,0,5,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
0,1,0.23076923076923078,0.24264705882352938,0.6666666666666666,1,2,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
0,1,0.23076923076923078,0.11764705882352942,1.0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0.6153846153846154,0.16421568627450978,0.0,0,5,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0.6153846153846154,0.3737745098039216,0.33333333333333337,0,5,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0.3076923076923077,0.3125,0.6666666666666666,0,5,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0.8461538461538463,0.13480392156862744,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.15384615384615385,0.18259803921568626,1.0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0.0,0.01654411764705882,0.0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,0.38461538461538464,0.17524509803921567,0.6666666666666666,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0.5384615384615385,0.43382352941176466,1.0,0,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0.0,0.03308823529411765,1.0,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.7692307692307694,0.2910539215686274,0.0,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0.0,0.007965686274509805,0.6666666666666666,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
