id_lead,origem_canal,campanha_tipo,dispositivo,metodo_tracking,paginas_vistas,tempo_sessao_segundos,scroll_depth_max,baixou_material_rico,cargo,tamanho_empresa,tipo_email,converteu
1,Meta Ads,Retargeting,Mobile,Server-side,11,451,75%,1,Coordenador,200+,Genérico,0
2,Referral,Retargeting,Mobile,Server-side,10,400,75%,0,Coordenador,1-10,Corporativo,1
3,Organic Search,Nenhuma,Mobile,Client-side,13,611,100%,0,Gerente,200+,Corporativo,1
4,Meta Ads,Lookalike,Mobile,Server-side,6,516,75%,0,C-Level,51-200,Corporativo,1
5,Google Ads,Retargeting,Mobile,Server-side,3,270,75%,1,Coordenador,200+,Genérico,1
6,Google Ads,Institucional,Desktop,Client-side,5,165,100%,0,Estagiário,200+,Corporativo,1
7,Google Ads,Retargeting,Mobile,Client-side,14,1372,50%,1,Coordenador,200+,Corporativo,1
8,Direct,Institucional,Mobile,Client-side,12,1104,100%,0,Gerente,1-10,Corporativo,1
9,,,Desktop,Client-side,13,923,25%,0,Gerente,200+,Genérico,0
10,Organic Search,Institucional,Mobile,Server-side,13,806,100%,0,Analista,200+,Genérico,0
11,Google Ads,Retargeting,Desktop,Server-side,13,1170,100%,0,Coordenador,1-10,Corporativo,1
12,Referral,Retargeting,Mobile,Client-side,1,95,50%,1,Coordenador,1-10,Corporativo,1
13,Organic Search,PMax,Mobile,Server-side,8,304,50%,0,Gerente,1-10,Corporativo,1
14,Google Ads,Institucional,Mobile,Server-side,11,506,75%,0,Estagiário,51-200,Genérico,0
15,Google Ads,Institucional,Mobile,Client-side,6,222,100%,0,C-Level,1-10,Genérico,0
16,,,Mobile,Client-side,12,384,50%,0,Coordenador,51-200,Corporativo,1
17,Meta Ads,Search,Mobile,Server-side,2,40,25%,0,C-Level,1-10,Corporativo,1
18,Meta Ads,Retargeting,Mobile,Server-side,4,416,75%,1,Analista,1-10,Corporativo,1
19,Meta Ads,Institucional,Mobile,Server-side,4,212,100%,0,Gerente,11-50,Genérico,0
20,Google Ads,Nenhuma,Mobile,Server-side,9,288,25%,0,C-Level,11-50,Genérico,0
21,LinkedIn Ads,Search,Mobile,Client-side,9,630,50%,0,C-Level,11-50,Corporativo,1
22,Google Ads,PMax,Mobile,Client-side,5,530,75%,0,C-Level,11-50,Genérico,1
23,,,Mobile,Client-side,12,240,25%,0,Estagiário,1-10,Genérico,0
24,Meta Ads,Institucional,Mobile,Client-side,3,318,100%,0,Coordenador,1-10,Genérico,0
25,Meta Ads,Search,Mobile,Server-side,1,47,25%,0,Estagiário,51-200,Genérico,0
26,Organic Search,Retargeting,Mobile,Server-side,6,306,75%,0,Analista,1-10,Corporativo,0
27,Google Ads,Nenhuma,Desktop,Server-side,8,728,100%,0,Analista,51-200,Genérico,0
28,,,Mobile,Client-side,1,74,100%,1,Gerente,200+,Genérico,1
29,Meta Ads,Institucional,Desktop,Client-side,11,495,25%,0,Gerente,200+,Genérico,0
30,,,Desktop,Client-side,1,33,75%,0,Coordenador,1-10,Genérico,0
31,,,Mobile,Client-side,11,1177,100%,0,Gerente,200+,Corporativo,1
32,Google Ads,Nenhuma,Mobile,Server-side,7,784,75%,0,Estagiário,1-10,Corporativo,0
33,,,Desktop,Client-side,7,609,50%,0,Gerente,51-200,Genérico,1
34,Direct,Lookalike,Desktop,Server-side,2,164,25%,1,Analista,11-50,Genérico,0
35,Referral,Nenhuma,Mobile,Server-side,3,303,75%,1,Coordenador,200+,Genérico,0
36,Organic Search,Lookalike,Desktop,Client-side,2,66,50%,0,Coordenador,1-10,Corporativo,0
37,Meta Ads,Nenhuma,Desktop,Client-side,6,276,50%,0,C-Level,11-50,Corporativo,1
38,Google Ads,PMax,Mobile,Server-side,13,780,75%,0,C-Level,51-200,Genérico,1
39,,,Desktop,Client-side,13,286,75%,0,Analista,1-10,Corporativo,1
40,Meta Ads,PMax,Mobile,Server-side,8,904,25%,1,Estagiário,200+,Corporativo,1
41,Google Ads,PMax,Mobile,Client-side,8,624,25%,0,Gerente,51-200,Genérico,1
42,Meta Ads,Search,Desktop,Client-side,1,119,100%,0,Coordenador,1-10,Corporativo,0
43,,,Desktop,Client-side,11,462,25%,0,Coordenador,200+,Genérico,0
44,Direct,Retargeting,Mobile,Client-side,9,333,75%,0,Estagiário,51-200,Corporativo,0
45,Google Ads,Nenhuma,Mobile,Server-side,11,1023,100%,1,Gerente,51-200,Genérico,1
46,LinkedIn Ads,Retargeting,Mobile,Client-side,8,760,50%,0,Analista,11-50,Corporativo,1
47,Meta Ads,Search,Desktop,Server-side,9,540,50%,1,Analista,11-50,Corporativo,0
48,Meta Ads,Lookalike,Mobile,Server-side,13,351,75%,0,Analista,11-50,Genérico,0
49,Meta Ads,Lookalike,Desktop,Server-side,14,714,100%,0,C-Level,1-10,Genérico,1
50,Google Ads,PMax,Desktop,Client-side,13,1300,100%,0,Analista,51-200,Corporativo,1
51,Referral,Institucional,Mobile,Server-side,9,540,25%,0,Gerente,11-50,Corporativo,1
52,,,Mobile,Client-side,11,704,50%,0,Analista,200+,Genérico,0
53,,,Mobile,Client-side,12,1164,50%,0,Coordenador,1-10,Genérico,0
54,Direct,Institucional,Mobile,Server-side,6,168,25%,1,C-Level,11-50,Corporativo,1
55,Meta Ads,Nenhuma,Mobile,Client-side,3,327,50%,0,Analista,1-10,Corporativo,0
56,Direct,Search,Mobile,Server-side,1,67,25%,1,C-Level,51-200,Genérico,1
57,Google Ads,Lookalike,Mobile,Client-side,11,473,50%,1,C-Level,200+,Corporativo,1
58,Google Ads,PMax,Mobile,Server-side,8,848,50%,0,Gerente,51-200,Corporativo,1
59,Google Ads,Institucional,Mobile,Client-side,10,1140,50%,0,Estagiário,200+,Genérico,0
60,Meta Ads,Retargeting,Mobile,Server-side,3,189,25%,0,Gerente,51-200,Genérico,0
61,Meta Ads,PMax,Mobile,Server-side,13,1001,50%,0,C-Level,1-10,Corporativo,1
62,,,Mobile,Client-side,7,595,50%,0,C-Level,51-200,Genérico,1
63,Organic Search,Search,Mobile,Client-side,13,481,100%,0,Gerente,200+,Genérico,1
64,Meta Ads,PMax,Mobile,Server-side,10,990,50%,0,Coordenador,1-10,Corporativo,0
65,Google Ads,PMax,Mobile,Client-side,6,288,75%,1,Gerente,1-10,Genérico,1
66,Meta Ads,Nenhuma,Desktop,Client-side,3,282,50%,0,Coordenador,200+,Genérico,0
67,Google Ads,Institucional,Mobile,Client-side,6,126,50%,1,Analista,200+,Corporativo,1
68,Organic Search,Retargeting,Mobile,Server-side,12,1164,100%,0,Gerente,1-10,Genérico,1
69,Google Ads,Retargeting,Desktop,Server-side,3,261,100%,0,Gerente,200+,Genérico,0
70,Referral,Search,Mobile,Server-side,13,1521,25%,0,Gerente,51-200,Genérico,1
71,Organic Search,Lookalike,Mobile,Server-side,13,754,25%,0,Gerente,51-200,Genérico,0
72,Google Ads,Search,Desktop,Server-side,14,1288,75%,0,Analista,51-200,Corporativo,1
73,,,Desktop,Client-side,9,540,100%,0,Analista,1-10,Corporativo,0
74,Organic Search,PMax,Desktop,Client-side,13,1170,25%,0,Analista,51-200,Corporativo,0
75,,,Desktop,Client-side,1,100,25%,1,Analista,1-10,Genérico,0
76,Organic Search,Lookalike,Mobile,Server-side,13,1378,25%,0,Coordenador,200+,Genérico,0
77,Organic Search,Institucional,Mobile,Server-side,8,752,100%,0,C-Level,51-200,Genérico,0
78,Google Ads,Lookalike,Mobile,Client-side,5,205,100%,0,Coordenador,1-10,Corporativo,0
79,Meta Ads,PMax,Mobile,Server-side,4,404,75%,0,Analista,11-50,Genérico,0
80,,,Mobile,Client-side,1,68,100%,0,Analista,51-200,Genérico,0
81,Direct,Lookalike,Desktop,Server-side,9,423,100%,1,Gerente,51-200,Genérico,1
82,,,Mobile,Client-side,13,455,100%,0,Analista,1-10,Corporativo,0
83,Meta Ads,Institucional,Mobile,Client-side,9,783,75%,0,Coordenador,1-10,Genérico,0
84,Google Ads,PMax,Desktop,Server-side,13,1053,50%,0,Analista,200+,Genérico,0
85,Meta Ads,Lookalike,Desktop,Server-side,5,275,50%,0,Analista,1-10,Corporativo,0
86,Meta Ads,Institucional,Mobile,Client-side,14,574,25%,0,Gerente,200+,Corporativo,1
87,Organic Search,Nenhuma,Desktop,Client-side,11,330,50%,0,Coordenador,11-50,Genérico,0
88,LinkedIn Ads,Nenhuma,Desktop,Server-side,9,936,50%,0,Estagiário,200+,Genérico,0
89,Direct,PMax,Mobile,Server-side,10,990,75%,0,C-Level,51-200,Genérico,1
90,Meta Ads,Institucional,Mobile,Server-side,14,854,75%,0,Estagiário,1-10,Genérico,0
91,Google Ads,Nenhuma,Mobile,Client-side,9,666,50%,0,Estagiário,11-50,Corporativo,0
92,Organic Search,Institucional,Mobile,Server-side,7,644,50%,0,Gerente,11-50,Corporativo,1
93,Organic Search,Lookalike,Mobile,Server-side,8,432,50%,1,Gerente,1-10,Genérico,1
94,Meta Ads,PMax,Desktop,Server-side,1,76,25%,0,Estagiário,51-200,Genérico,0
95,Organic Search,Nenhuma,Desktop,Server-side,4,212,75%,0,Gerente,1-10,Genérico,0
96,,,Desktop,Client-side,10,920,50%,0,Estagiário,1-10,Genérico,0
97,Meta Ads,Search,Desktop,Client-side,10,960,100%,0,C-Level,1-10,Genérico,0
98,Meta Ads,Search,Desktop,Server-side,4,356,50%,0,Gerente,200+,Genérico,1
99,Google Ads,PMax,Mobile,Client-side,12,276,100%,0,Analista,11-50,Corporativo,0
100,Google Ads,Nenhuma,Mobile,Server-side,9,585,25%,0,Analista,11-50,Genérico,0
101,Google Ads,Nenhuma,Desktop,Client-side,3,333,100%,0,Coordenador,51-200,Corporativo,1
102,LinkedIn Ads,Nenhuma,Mobile,Client-side,12,360,75%,0,Gerente,11-50,Genérico,1
103,Meta Ads,Institucional,Mobile,Client-side,10,1170,25%,1,Gerente,1-10,Corporativo,1
104,Meta Ads,Lookalike,Mobile,Server-side,10,800,25%,1,C-Level,11-50,Genérico,1
105,Direct,Nenhuma,Desktop,Client-side,1,54,50%,0,Analista,51-200,Genérico,0
106,Google Ads,Lookalike,Mobile,Server-side,11,968,25%,1,Gerente,200+,Corporativo,1
107,Meta Ads,PMax,Desktop,Client-side,5,380,25%,1,Coordenador,200+,Genérico,0
108,Organic Search,Nenhuma,Mobile,Server-side,7,210,100%,0,Coordenador,1-10,Genérico,0
109,,,Mobile,Client-side,12,372,50%,0,Gerente,1-10,Genérico,1
110,Google Ads,Nenhuma,Mobile,Client-side,4,248,75%,0,Analista,11-50,Genérico,0
111,Google Ads,Search,Desktop,Server-side,9,342,50%,1,Analista,11-50,Corporativo,1
112,Google Ads,Retargeting,Mobile,Client-side,6,576,75%,0,Gerente,51-200,Corporativo,1
113,,,Desktop,Client-side,6,522,100%,1,Coordenador,1-10,Corporativo,0
114,Organic Search,Nenhuma,Mobile,Server-side,3,291,25%,0,C-Level,51-200,Genérico,0
115,,,Mobile,Client-side,10,780,25%,0,Estagiário,200+,Genérico,0
116,Direct,PMax,Mobile,Client-side,10,210,50%,0,Analista,11-50,Genérico,0
117,Organic Search,Institucional,Mobile,Client-side,5,135,50%,0,Analista,1-10,Genérico,0
118,Google Ads,Nenhuma,Mobile,Client-side,10,410,50%,1,Coordenador,11-50,Genérico,1
119,,,Mobile,Client-side,6,576,25%,0,C-Level,1-10,Genérico,0
120,Meta Ads,Search,Desktop,Client-side,14,560,25%,0,Analista,200+,Genérico,0
121,Organic Search,Nenhuma,Mobile,Server-side,4,416,100%,0,Coordenador,51-200,Genérico,0
122,Direct,Search,Mobile,Client-side,13,1443,75%,0,Coordenador,1-10,Corporativo,0
123,Meta Ads,Retargeting,Desktop,Server-side,3,348,50%,0,Gerente,11-50,Corporativo,0
124,Google Ads,PMax,Mobile,Client-side,5,240,25%,1,Coordenador,1-10,Corporativo,1
125,Google Ads,Lookalike,Mobile,Client-side,7,735,75%,0,Gerente,51-200,Corporativo,1
126,Meta Ads,Search,Mobile,Client-side,11,1199,50%,0,Gerente,200+,Corporativo,1
127,Organic Search,Lookalike,Mobile,Server-side,6,564,50%,1,Analista,11-50,Genérico,0
128,Direct,Lookalike,Mobile,Server-side,2,188,75%,1,C-Level,200+,Corporativo,1
129,Google Ads,PMax,Desktop,Server-side,1,117,75%,0,Gerente,200+,Genérico,1
130,,,Mobile,Client-side,5,510,75%,0,Analista,51-200,Genérico,0
131,Meta Ads,PMax,Mobile,Server-side,5,280,25%,0,Gerente,1-10,Corporativo,0
132,Google Ads,Nenhuma,Mobile,Server-side,12,1164,100%,0,Gerente,1-10,Corporativo,1
133,Google Ads,Search,Desktop,Client-side,12,576,50%,0,C-Level,1-10,Genérico,1
134,Meta Ads,Lookalike,Mobile,Client-side,6,612,50%,0,Analista,1-10,Genérico,0
135,Direct,PMax,Desktop,Client-side,3,168,75%,0,Gerente,11-50,Corporativo,1
136,Meta Ads,PMax,Desktop,Server-side,1,40,25%,1,Estagiário,200+,Genérico,0
137,Meta Ads,PMax,Desktop,Client-side,4,428,75%,1,Analista,1-10,Genérico,0
138,Organic Search,Search,Desktop,Server-side,4,436,25%,0,Gerente,200+,Corporativo,0
139,Meta Ads,Retargeting,Mobile,Client-side,10,310,100%,1,Gerente,11-50,Corporativo,1
140,,,Desktop,Client-side,2,134,50%,0,Coordenador,11-50,Genérico,0
141,Referral,Search,Mobile,Client-side,14,1428,50%,0,Coordenador,11-50,Genérico,0
142,Google Ads,Lookalike,Desktop,Client-side,8,528,25%,0,Gerente,200+,Genérico,0
143,Meta Ads,Nenhuma,Mobile,Client-side,6,678,100%,0,C-Level,1-10,Genérico,0
144,Meta Ads,Institucional,Desktop,Client-side,12,408,100%,0,Coordenador,200+,Genérico,0
145,Google Ads,Search,Mobile,Server-side,3,258,50%,0,Analista,1-10,Genérico,0
146,,,Mobile,Client-side,1,32,50%,0,Gerente,51-200,Genérico,1
147,,,Desktop,Client-side,12,936,75%,0,Analista,1-10,Corporativo,1
148,Meta Ads,PMax,Mobile,Client-side,11,1012,25%,0,Analista,1-10,Corporativo,0
149,,,Mobile,Client-side,3,96,50%,1,Gerente,1-10,Corporativo,1
150,,,Mobile,Client-side,8,792,100%,0,Coordenador,11-50,Corporativo,1
151,Direct,PMax,Desktop,Client-side,4,388,100%,0,Coordenador,51-200,Genérico,0
152,Google Ads,Lookalike,Mobile,Client-side,3,273,50%,0,C-Level,1-10,Genérico,0
153,,,Mobile,Client-side,13,494,100%,0,Analista,51-200,Genérico,0
154,Meta Ads,Retargeting,Mobile,Server-side,11,836,25%,0,Estagiário,200+,Genérico,0
155,Referral,PMax,Mobile,Client-side,4,204,100%,1,Analista,200+,Genérico,0
156,Google Ads,Institucional,Desktop,Client-side,11,1298,100%,1,Estagiário,11-50,Genérico,0
157,LinkedIn Ads,Nenhuma,Desktop,Client-side,4,424,50%,0,Coordenador,200+,Corporativo,0
158,Organic Search,PMax,Mobile,Client-side,2,80,25%,0,Analista,51-200,Genérico,0
159,Google Ads,Nenhuma,Mobile,Server-side,4,404,25%,0,Gerente,51-200,Genérico,1
160,Organic Search,Nenhuma,Desktop,Client-side,11,363,75%,0,Gerente,51-200,Genérico,1
161,Meta Ads,Institucional,Mobile,Client-side,12,1188,25%,0,Coordenador,51-200,Corporativo,0
162,LinkedIn Ads,Nenhuma,Mobile,Server-side,9,387,75%,0,Analista,51-200,Corporativo,0
163,LinkedIn Ads,Lookalike,Mobile,Client-side,4,272,50%,1,Coordenador,11-50,Genérico,0
164,Meta Ads,Institucional,Mobile,Server-side,12,612,100%,0,Gerente,1-10,Corporativo,1
165,Google Ads,PMax,Mobile,Server-side,1,94,25%,0,Analista,200+,Genérico,0
166,Organic Search,Lookalike,Mobile,Client-side,1,30,75%,0,Gerente,51-200,Corporativo,0
167,Meta Ads,Search,Mobile,Client-side,1,79,25%,0,Analista,200+,Corporativo,0
168,Google Ads,Retargeting,Mobile,Client-side,14,1218,50%,1,C-Level,11-50,Corporativo,1
169,,,Desktop,Client-side,5,400,75%,0,Coordenador,11-50,Corporativo,0
170,Meta Ads,PMax,Mobile,Client-side,6,654,75%,0,Gerente,1-10,Corporativo,1
171,LinkedIn Ads,PMax,Desktop,Client-side,12,288,75%,0,Gerente,11-50,Genérico,1
172,Google Ads,Lookalike,Mobile,Server-side,6,330,50%,0,Coordenador,1-10,Corporativo,1
173,Meta Ads,Search,Desktop,Client-side,6,696,75%,0,Gerente,51-200,Corporativo,1
174,Google Ads,Institucional,Desktop,Server-side,9,747,100%,0,Gerente,11-50,Genérico,1
175,LinkedIn Ads,Search,Desktop,Server-side,1,97,50%,0,Gerente,200+,Corporativo,1
176,Google Ads,Lookalike,Desktop,Server-side,10,510,100%,0,Gerente,11-50,Corporativo,1
177,LinkedIn Ads,PMax,Mobile,Client-side,6,540,100%,0,Analista,11-50,Genérico,0
178,,,Mobile,Client-side,13,1209,50%,1,Analista,51-200,Corporativo,0
179,Direct,PMax,Mobile,Server-side,8,680,25%,0,Analista,1-10,Corporativo,0
180,Google Ads,Institucional,Mobile,Server-side,8,232,100%,0,Gerente,1-10,Genérico,1
181,Meta Ads,Nenhuma,Mobile,Server-side,12,1416,50%,1,Estagiário,11-50,Corporativo,1
182,Google Ads,Retargeting,Desktop,Server-side,3,120,100%,1,Gerente,200+,Genérico,1
183,,,Mobile,Client-side,13,767,75%,0,Analista,11-50,Corporativo,0
184,Direct,Retargeting,Mobile,Client-side,5,305,100%,0,Estagiário,200+,Genérico,0
185,Google Ads,Nenhuma,Desktop,Client-side,10,910,100%,1,Coordenador,51-200,Genérico,0
186,LinkedIn Ads,Search,Mobile,Server-side,4,260,100%,1,Analista,51-200,Corporativo,1
187,,,Mobile,Client-side,12,1212,75%,0,Coordenador,1-10,Corporativo,1
188,Meta Ads,PMax,Desktop,Server-side,1,92,100%,1,Coordenador,200+,Genérico,0
189,Meta Ads,Institucional,Mobile,Server-side,9,540,50%,0,Analista,11-50,Genérico,1
190,Google Ads,Search,Mobile,Server-side,5,565,100%,0,C-Level,11-50,Corporativo,1
191,,,Desktop,Client-side,2,46,50%,0,Coordenador,11-50,Corporativo,1
192,Direct,Search,Desktop,Client-side,12,1416,100%,1,Coordenador,11-50,Genérico,0
193,Direct,Institucional,Desktop,Server-side,2,66,100%,0,Gerente,51-200,Genérico,0
194,,,Mobile,Client-side,11,363,100%,0,Estagiário,200+,Corporativo,1
195,Meta Ads,Nenhuma,Desktop,Client-side,7,504,25%,0,Analista,51-200,Genérico,0
196,Meta Ads,Nenhuma,Mobile,Client-side,4,412,25%,0,Coordenador,200+,Corporativo,0
197,Organic Search,Institucional,Mobile,Client-side,1,48,75%,1,Coordenador,1-10,Genérico,1
198,Direct,Retargeting,Mobile,Client-side,5,210,50%,0,Analista,200+,Genérico,0
199,Direct,Institucional,Mobile,Server-side,2,208,75%,0,Analista,11-50,Genérico,0
200,Organic Search,Retargeting,Mobile,Server-side,7,350,50%,0,Coordenador,51-200,Corporativo,0
201,LinkedIn Ads,PMax,Mobile,Server-side,9,1035,75%,0,Estagiário,11-50,Genérico,0
202,Google Ads,Retargeting,Mobile,Client-side,13,1170,75%,1,Analista,200+,Genérico,0
203,Google Ads,PMax,Mobile,Server-side,1,96,100%,0,Analista,200+,Corporativo,1
204,Direct,PMax,Desktop,Server-side,12,960,100%,0,Coordenador,1-10,Genérico,1
205,LinkedIn Ads,Lookalike,Mobile,Server-side,2,84,100%,0,Estagiário,200+,Genérico,0
206,Google Ads,PMax,Mobile,Server-side,11,297,100%,0,Gerente,200+,Genérico,0
207,Google Ads,Retargeting,Mobile,Server-side,6,570,100%,0,C-Level,11-50,Genérico,1
208,LinkedIn Ads,Lookalike,Mobile,Client-side,8,952,75%,0,Gerente,200+,Genérico,0
209,Google Ads,Lookalike,Mobile,Server-side,7,245,50%,1,Gerente,200+,Genérico,1
210,Google Ads,PMax,Mobile,Client-side,9,405,25%,0,Gerente,51-200,Genérico,1
211,Meta Ads,Institucional,Mobile,Client-side,14,672,25%,0,Coordenador,51-200,Genérico,0
212,LinkedIn Ads,Institucional,Desktop,Server-side,2,224,50%,0,Analista,1-10,Corporativo,0
213,,,Mobile,Client-side,12,300,25%,0,Analista,1-10,Genérico,0
214,Google Ads,Lookalike,Mobile,Client-side,9,504,75%,0,Analista,11-50,Corporativo,0
215,Organic Search,PMax,Mobile,Server-side,4,208,50%,1,Estagiário,11-50,Genérico,0
216,Google Ads,Institucional,Mobile,Server-side,11,1254,50%,0,C-Level,51-200,Corporativo,1
217,Meta Ads,PMax,Mobile,Client-side,3,195,25%,0,C-Level,51-200,Genérico,0
218,Organic Search,PMax,Mobile,Server-side,7,560,25%,0,Analista,51-200,Corporativo,1
219,LinkedIn Ads,Lookalike,Mobile,Client-side,5,300,75%,0,Coordenador,1-10,Genérico,0
220,Organic Search,Nenhuma,Desktop,Client-side,13,481,100%,0,Coordenador,1-10,Genérico,0
221,LinkedIn Ads,Lookalike,Desktop,Client-side,5,570,50%,0,Gerente,200+,Genérico,1
222,Meta Ads,Search,Mobile,Client-side,12,420,100%,0,Gerente,1-10,Corporativo,1
223,Google Ads,Institucional,Desktop,Client-side,13,910,25%,0,Analista,200+,Corporativo,0
224,Meta Ads,Institucional,Mobile,Client-side,2,112,50%,0,Gerente,11-50,Genérico,0
225,Google Ads,Institucional,Desktop,Server-side,6,198,100%,0,Gerente,1-10,Genérico,1
226,Google Ads,Retargeting,Mobile,Server-side,6,522,75%,1,Coordenador,11-50,Corporativo,1
227,Referral,PMax,Mobile,Server-side,12,588,75%,0,Coordenador,200+,Genérico,0
228,Meta Ads,Lookalike,Desktop,Server-side,4,316,75%,0,C-Level,11-50,Corporativo,1
229,Direct,Institucional,Desktop,Client-side,5,360,50%,0,Gerente,11-50,Genérico,0
230,LinkedIn Ads,Search,Desktop,Server-side,7,812,50%,0,Coordenador,1-10,Genérico,0
231,Organic Search,Institucional,Mobile,Server-side,14,770,50%,0,Estagiário,200+,Corporativo,0
232,Meta Ads,Nenhuma,Desktop,Client-side,8,392,50%,0,Coordenador,200+,Corporativo,0
233,Meta Ads,PMax,Desktop,Client-side,6,498,50%,0,Gerente,51-200,Genérico,1
234,Meta Ads,PMax,Mobile,Server-side,5,165,100%,0,Analista,1-10,Corporativo,1
235,Google Ads,Lookalike,Mobile,Server-side,12,504,100%,0,Coordenador,1-10,Genérico,0
236,Organic Search,Retargeting,Mobile,Server-side,3,201,75%,0,Analista,200+,Genérico,0
237,Google Ads,Lookalike,Desktop,Client-side,7,329,100%,1,Analista,1-10,Corporativo,1
238,,,Mobile,Client-side,8,208,100%,0,Estagiário,11-50,Genérico,0
239,,,Mobile,Client-side,3,183,75%,0,Analista,51-200,Corporativo,0
240,Google Ads,Search,Mobile,Server-side,5,145,75%,0,Coordenador,200+,Corporativo,0
